depth_m,qc_MPa,fs_kPa,inclination_degree,s_wave_travel_time_ms,point_id,utm_x_m,utm_y_m,elevation_m,total_depth_m,water_depth_m,Rf_percent
12.6,1.6,59.7,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,3.7312499999999997
12.7,4.4,57.7,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.3113636363636363
12.8,5.6,59.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.0553571428571429
12.9,9.1,53.7,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5901098901098901
13.0,10.5,62.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5914285714285715
13.1,10.5,59.7,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5685714285714286
13.2,10.4,63.8,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.6134615384615384
13.3,13.7,50.3,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.36715328467153285
13.4,15.1,44.0,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.2913907284768212
13.5,14.3,89.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.6286713286713287
13.6,11.4,97.3,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.8535087719298247
13.7,14.4,67.8,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.4708333333333333
13.8,14.2,78.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5528169014084507
13.9,10.6,39.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.3735849056603774
14.0,9.9,11.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.11212121212121212
14.1,11.1,16.8,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.15135135135135136
14.2,9.9,28.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.2919191919191919
14.3,9.2,66.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7217391304347827
14.4,10.1,59.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5851485148514851
14.5,9.9,78.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.792929292929293
14.6,15.6,68.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.4391025641025641
14.7,20.2,78.2,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.38712871287128714
14.8,21.2,115.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5429245283018868
14.9,18.4,92.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5032608695652174
15.0,18.9,65.8,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.3481481481481481
0.1,10.5,94.3,0.0,,MYC006,612090,4085131,8.9,19.0,,0.8980952380952381
0.2,8.0,99.7,0.0,,MYC006,612090,4085131,8.9,19.0,,1.2462499999999999
0.3,8.1,170.5,0.0,,MYC006,612090,4085131,8.9,19.0,,2.1049382716049383
0.4,5.5,104.4,0.0,,MYC006,612090,4085131,8.9,19.0,,1.8981818181818184
0.5,2.7,22.5,0.0,,MYC006,612090,4085131,8.9,19.0,,0.8333333333333334
0.6,2.7,19.1,0.0,,MYC006,612090,4085131,8.9,19.0,,0.7074074074074075
0.7,4.7,53.0,0.0,,MYC006,612090,4085131,8.9,19.0,,1.127659574468085
0.8,5.0,47.7,0.0,,MYC006,612090,4085131,8.9,19.0,,0.954
0.9,3.3,30.2,0.0,,MYC006,612090,4085131,8.9,19.0,,0.9151515151515152
1.0,2.2,12.8,0.0,,MYC006,612090,4085131,8.9,19.0,,0.5818181818181819
1.1,1.4,9.7,0.0,,MYC006,612090,4085131,8.9,19.0,,0.6928571428571428
1.2,1.0,0.3,0.0,,MYC006,612090,4085131,8.9,19.0,,0.03
1.3,1.4,5.7,0.0,,MYC006,612090,4085131,8.9,19.0,,0.40714285714285714
1.4,1.6,11.4,0.0,,MYC006,612090,4085131,8.9,19.0,,0.7125
